City_ID,City,Country,Max Temp,current Description,Lat,Lng,Hotel Name
417,Wajir,KE,85.93,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
418,Beyla,GN,88.79,broken clouds,8.6833,-8.6333,DIAN SINKO
420,Nabire,ID,76.69,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
421,Coroata,BR,87.73,overcast clouds,-4.13,-44.1242,Hotel Carvalho
422,Ambilobe,MG,79.74,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
427,Vallenar,CL,78.75,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
428,Amapa,BR,81.07,light rain,1.0,-52.0,
432,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
434,Buala,SB,80.04,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
439,Kavaratti,IN,82.33,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
444,Buri,BR,86.67,clear sky,-23.7975,-48.5928,Hotel Aro
447,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
474,Bahia Blanca,AR,78.06,broken clouds,-38.7196,-62.2724,Hotel Argos
481,Am Timan,TD,83.44,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
483,Manaus,BR,88.29,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
487,Viedma,AR,83.52,few clouds,-40.8135,-62.9967,Hotel Cristal
488,Katobu,ID,77.18,overcast clouds,-4.9408,122.5276,La Ode Husein
491,Isangel,VU,78.76,broken clouds,-19.55,169.2667,Tanna Lodge
493,Mitsamiouli,KM,80.15,clear sky,-11.3847,43.2844,Foyer ADM
498,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
502,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
507,Axim,GH,82.8,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
508,Kirakira,SB,80.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
512,Tomatlan,MX,86.83,scattered clouds,19.9333,-105.25,El Salvial
513,Omboue,GA,79.97,light rain,-1.5746,9.2618,Hotel Olako
520,Biak,ID,77.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
522,Amahai,ID,79.41,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
523,Sibolga,ID,76.28,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
526,Sullana,PE,82.83,broken clouds,-4.9039,-80.6853,Alpamayo
536,Salinopolis,BR,81.72,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
537,Nkoteng,CM,77.14,scattered clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
538,Limbuhan,PH,79.36,overcast clouds,11.8838,124.0501,D'Bluewave Resort
542,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
543,Kankon,IN,81.59,scattered clouds,15.0167,74.0167,Palolem Beach Resort
544,Parana,AR,83.3,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
545,Sorong,ID,81.12,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
548,Ranot,TH,79.43,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
555,Nadadores,MX,89.24,scattered clouds,27.05,-101.6,Hacienda Las Catalinas
556,Golfito,CR,85.15,clear sky,8.639,-83.166,Banana Bay Marina
558,Yanam,IN,77.4,light rain,16.7333,82.2167,The Regency Hotel
561,Santiago,CL,79.18,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
562,Merauke,ID,80.1,overcast clouds,-8.4667,140.3333,
564,Caravelas,BR,77.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
565,Businga,CD,80.26,overcast clouds,3.3333,20.8833,
566,Kimbe,PG,77.22,light rain,-5.5502,150.1429,Kimbe Bay Hotel
569,Savannah Bight,HN,84.25,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
577,Port Blair,IN,79.41,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
578,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
582,Clearwater,US,83.1,mist,27.9659,-82.8001,Shephard's Beach Resort
583,Sena Madureira,BR,82.63,overcast clouds,-9.0656,-68.6569,Hotel Central
584,Kieta,PG,79.61,light rain,-6.2167,155.6333,Uruna Bay Retreat
585,Harper,LR,83.68,scattered clouds,4.375,-7.7169,Screensaver
588,Kandrian,PG,78.64,light rain,-6.2167,149.55,Kandrian Station
592,Kasempa,ZM,76.17,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
594,Wanlaweyn,SO,78.21,broken clouds,2.6185,44.8938,GAASHAAN HOME
595,Coihaique,CL,77.61,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
599,Majene,ID,78.49,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
600,Lorengau,PG,83.41,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
601,Daru,PG,79.43,broken clouds,-9.0763,143.2092,Daru Lodge
602,Maragogi,BR,84.52,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
603,Djougou,BJ,88.95,overcast clouds,9.7085,1.666,Hotel cathas
613,Pochutla,MX,87.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
617,Prieska,ZA,78.4,broken clouds,-29.6641,22.7474,Avenue GuestHouse
618,Guarenas,VE,84.65,overcast clouds,10.4674,-66.6066,Grand Hotel
619,Ouallam,NE,83.89,few clouds,14.3188,2.0866,
620,Beloha,MG,76.35,overcast clouds,-25.1667,45.05,
621,Xai-Xai,MZ,79.05,overcast clouds,-25.0519,33.6442,Complexo da Familia
623,Kulhudhuffushi,MV,82.56,scattered clouds,6.6221,73.07,Haajy Guest House 1
634,Canoas,BR,83.57,clear sky,-29.9178,-51.1836,Hotel Metropolitan
638,Bubaque,GW,81.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
639,Luwuk,ID,78.62,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
643,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
644,Garzon,CO,80.46,broken clouds,2.1959,-75.6278,Hotel Encanto Real
645,Sao Gabriel Da Cachoeira,BR,80.4,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
646,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
648,Pirai Do Sul,BR,79.23,clear sky,-24.5261,-49.9486,Victor Hotel
650,Alvorada,BR,81.52,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
651,Ambon,ID,81.41,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
654,Mont-Dore,NC,82.99,overcast clouds,-22.2833,166.5833,GIte
668,Anloga,GH,83.41,broken clouds,5.7947,0.8973,Pin Drop Hotel
669,Tual,ID,84.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
670,Guerrero,MX,79.29,overcast clouds,17.6667,-100.0,Villaxochilt
674,Sokoni,TZ,81.25,clear sky,-6.4333,39.55,Ujamaa Beach Resort
677,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
678,Qandala,SO,76.32,clear sky,11.472,49.8728,
679,Nosy Varika,MG,78.48,overcast clouds,-20.5833,48.5333,Hotel Volazara
684,Hambantota,LK,79.25,overcast clouds,6.1241,81.1185,Bungalow 63
689,Sambava,MG,77.18,overcast clouds,-14.2667,50.1667,Melrose
692,Pueblo Bello,CO,85.91,scattered clouds,8.2041,-76.526,
693,Senanga,ZM,81.68,overcast clouds,-16.1167,23.2667,Zango lodge
695,Sebring,US,83.26,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
696,Letlhakane,BW,84.92,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
697,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
699,Quelimane,MZ,84.15,few clouds,-17.8786,36.8883,Hotel Flamingo
703,Kisanga,TZ,80.15,few clouds,-7.4362,37.7034,
712,Tiruchchendur,IN,80.58,broken clouds,8.4833,78.1167,Hotel Udhayam International
