City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
307,Tyazhinskiy,RU,56.116,88.524,7.9,86,97,11.41,overcast clouds
308,Lebowakgomo,ZA,-24.2,29.5,76.1,45,84,4.52,broken clouds
309,Norman Wells,CA,65.282,-126.8329,-2.31,95,51,9.24,broken clouds
310,Port Moresby,PG,-9.4431,147.1797,74.62,100,75,3.44,broken clouds
311,Orange Cove,US,36.6244,-119.3137,49.84,68,61,0.83,broken clouds
312,Pleszew,PL,51.8964,17.7855,30.6,93,10,7.0,clear sky
313,Richards Bay,ZA,-28.783,32.0377,77.56,83,27,13.2,scattered clouds
314,Refojos De Basto,PT,41.5132,-7.9952,53.6,92,84,5.84,broken clouds
315,Aksu,CN,41.1231,80.2644,25.88,59,0,4.7,clear sky
316,Codrington,AU,-38.2667,141.9667,55.18,67,99,12.15,overcast clouds
317,Cabo San Lucas,MX,22.8909,-109.9124,78.1,60,75,11.5,broken clouds
318,Puerto Escondido,MX,15.85,-97.0667,86.83,66,1,6.91,clear sky
319,Sabha,LY,27.0377,14.4283,54.03,41,10,1.95,clear sky
320,Leh,IN,34.1667,77.5833,6.39,61,1,5.01,clear sky
321,Zemio,CF,5.0314,25.1361,81.01,32,76,3.62,broken clouds
322,Qiryat Gat,IL,31.61,34.7642,68.77,40,90,1.74,overcast clouds
323,Lasa,IT,46.6166,10.7002,29.14,93,100,0.11,overcast clouds
324,Changji,CN,44.0167,87.3167,16.59,92,75,4.47,mist
325,Okhotsk,RU,59.3833,143.3,-11.83,85,1,9.46,clear sky
326,Alice Town,BS,25.7167,-79.3,77.11,76,0,9.55,clear sky
327,Killybegs,IE,54.6333,-8.45,47.91,68,96,19.55,overcast clouds
328,Ilulissat,GL,69.2167,-51.1,17.62,38,75,3.44,broken clouds
329,Rawlins,US,41.7911,-107.2387,16.02,83,90,19.57,light snow
330,Vao,NC,-22.6667,167.4833,77.95,85,92,18.01,overcast clouds
331,Odda,NO,60.0691,6.5457,36.77,84,13,8.21,few clouds
332,Haines Junction,CA,60.7522,-137.5108,8.55,85,98,1.14,overcast clouds
333,Anchorage,US,61.2181,-149.9003,25.32,84,90,3.44,light snow
334,Tartagal,AR,-22.5164,-63.8013,96.94,38,100,1.97,overcast clouds
335,Kutum,SD,14.2,24.6667,71.58,17,1,7.05,clear sky
336,Butaritari,KI,3.0707,172.7902,81.79,77,97,11.7,light rain
337,Ayan,RU,56.45,138.1667,9.23,63,82,8.59,broken clouds
338,Glendive,US,47.1053,-104.7125,30.83,83,1,0.0,clear sky
339,North Platte,US,41.1239,-100.7654,30.09,77,90,8.01,snow
340,Pangnirtung,CA,66.1451,-65.7125,3.2,92,90,5.75,light snow
341,Alofi,NU,-19.0595,-169.9187,76.23,81,100,13.27,light rain
342,Yulara,AU,-25.2406,130.9889,73.24,27,15,8.05,few clouds
343,Liwale,TZ,-9.7667,37.9333,76.44,65,59,6.93,broken clouds
344,Gohpur,IN,26.8833,93.6333,64.67,69,17,2.33,few clouds
345,Dawei,MM,14.0833,98.2,71.96,76,0,4.74,clear sky
